IRFC | 2013-03 | interest_risk | ICR=1.36 < 1.5
IRFC | 2014-03 | interest_risk | ICR=1.34 < 1.5
IRFC | 2015-03 | interest_risk | ICR=1.38 < 1.5
IRFC | 2016-03 | interest_risk | ICR=1.35 < 1.5
IRFC | 2017-03 | interest_risk | ICR=1.31 < 1.5
IRFC | 2018-03 | interest_risk | ICR=1.39 < 1.5
IRFC | 2019-03 | interest_risk | ICR=1.35 < 1.5
IRFC | 2020-03 | interest_risk | ICR=1.31 < 1.5
IRFC | 2021-03 | interest_risk | ICR=1.39 < 1.5
IRFC | 2022-03 | interest_risk | ICR=1.43 < 1.5
IRFC | 2023-03 | interest_risk | ICR=1.35 < 1.5
IRFC | 2024-03 | interest_risk | ICR=1.32 < 1.5
JINDALSTEL | 2015-03 | interest_risk | ICR=1.41 < 1.5
JINDALSTEL | 2016-03 | interest_risk | ICR=1.03 < 1.5
JINDALSTEL | 2017-03 | interest_risk | ICR=1.26 < 1.5
JIOFIN | 2023-03 | opm_mismatch | computed opm=86.67 vs source opm=88.0
JIOFIN | 2023-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
JSWSTEEL | 2016-03 | interest_risk | ICR=1.24 < 1.5
KOTAKBANK | 2013-03 | opm_mismatch | computed opm=60.92 vs source opm=-1789.0
KOTAKBANK | 2013-03 | interest_risk | ICR=1.29 < 1.5
KOTAKBANK | 2014-03 | opm_mismatch | computed opm=58.84 vs source opm=-1379.0
KOTAKBANK | 2014-03 | interest_risk | ICR=1.33 < 1.5
KOTAKBANK | 2015-03 | opm_mismatch | computed opm=72.96 vs source opm=-3366.0
KOTAKBANK | 2015-03 | interest_risk | ICR=1.19 < 1.5
KOTAKBANK | 2016-03 | opm_mismatch | computed opm=56.57 vs source opm=-2263.0
KOTAKBANK | 2017-03 | opm_mismatch | computed opm=66.44 vs source opm=-3965.0
KOTAKBANK | 2017-03 | interest_risk | ICR=1.27 < 1.5
KOTAKBANK | 2018-03 | opm_mismatch | computed opm=66.87 vs source opm=-4141.0
KOTAKBANK | 2018-03 | interest_risk | ICR=1.23 < 1.5
KOTAKBANK | 2019-03 | opm_mismatch | computed opm=66.23 vs source opm=-5114.0
KOTAKBANK | 2019-03 | interest_risk | ICR=1.22 < 1.5
KOTAKBANK | 2020-03 | opm_mismatch | computed opm=67.45 vs source opm=-5005.0
KOTAKBANK | 2020-03 | interest_risk | ICR=1.34 < 1.5
KOTAKBANK | 2021-03 | opm_mismatch | computed opm=90.83 vs source opm=-9958.0
KOTAKBANK | 2021-03 | interest_risk | ICR=1.26 < 1.5
KOTAKBANK | 2022-03 | opm_mismatch | computed opm=90.98 vs source opm=-8512.0
KOTAKBANK | 2022-03 | interest_risk | ICR=1.23 < 1.5
KOTAKBANK | 2023-03 | opm_mismatch | computed opm=79.44 vs source opm=-5746.0
KOTAKBANK | 2023-03 | interest_risk | ICR=1.29 < 1.5
KOTAKBANK | 2024-03 | opm_mismatch | computed opm=83.67 vs source opm=-13382.0
KOTAKBANK | 2024-03 | interest_risk | ICR=1.24 < 1.5
LICI | 2019-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
LICI | 2020-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
LICI | 2021-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
LICI | 2022-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
LODHA | 2011-03 | leverage | D/E=7.52 > 5, flagged high leverage
LODHA | 2019-03 | leverage | D/E=6.68 > 5, flagged high leverage
LODHA | 2021-03 | interest_risk | ICR=1.09 < 1.5
NAUKRI | 2020-03 | interest_risk | ICR=-4.57 < 1.5
PFC | 2013-03 | interest_risk | ICR=0.55 < 1.5
PFC | 2014-03 | interest_risk | ICR=0.58 < 1.5
PFC | 2015-03 | interest_risk | ICR=0.55 < 1.5
PFC | 2016-03 | interest_risk | ICR=0.55 < 1.5
PFC | 2017-03 | interest_risk | ICR=0.32 < 1.5
PFC | 2018-03 | interest_risk | ICR=0.39 < 1.5
PFC | 2019-03 | interest_risk | ICR=0.52 < 1.5
PFC | 2020-03 | interest_risk | ICR=0.35 < 1.5
PFC | 2021-03 | interest_risk | ICR=0.45 < 1.5
PFC | 2022-03 | interest_risk | ICR=0.52 < 1.5
PFC | 2023-03 | interest_risk | ICR=0.56 < 1.5
PFC | 2024-03 | interest_risk | ICR=0.58 < 1.5
RECLTD | 2018-03 | interest_risk | ICR=1.45 < 1.5
RECLTD | 2020-03 | interest_risk | ICR=1.37 < 1.5
SBILIFE | 2020-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
SBILIFE | 2021-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
SBILIFE | 2022-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
SBIN | 2013-03 | interest_risk | ICR=0.26 < 1.5
SBIN | 2014-03 | interest_risk | ICR=0.19 < 1.5
SBIN | 2015-03 | interest_risk | ICR=0.21 < 1.5
